code,city_municipality,population,poverty_incidence_estimate,poverty_incidence_stderr,gini_estimate,gini_stderr,state
0101,Cuenca,"499,800",0.15,0.01,0.37,0.01,Azuay
010150,Cuenca,"326,535",0.07,0.00,0.34,0.01,Azuay
010151,Baños,"16,795",0.24,0.02,0.34,0.01,Azuay
010152,Cumbe,"5,511",0.35,0.03,0.31,0.01,Azuay
010153,Chaucha,"1,284",0.53,0.04,0.30,0.01,Azuay
010154,Checa (Jidcay),"2,741",0.27,0.02,0.30,0.01,Azuay
010155,Chiquintad,"4,826",0.26,0.02,0.30,0.01,Azuay
010156,Llacao,"5,342",0.30,0.03,0.30,0.01,Azuay
010157,Molleturo,"7,035",0.49,0.02,0.29,0.01,Azuay
010158,Nulti,"4,322",0.28,0.03,0.30,0.01,Azuay
010159,Octavio Cordero Palacios (Santa Rosa),"2,271",0.32,0.03,0.29,0.01,Azuay
010160,Paccha,"6,467",0.26,0.02,0.30,0.01,Azuay
010161,Quingeo,"7,432",0.59,0.02,0.28,0.01,Azuay
010162,Ricaurte,"19,263",0.19,0.01,0.32,0.01,Azuay
010163,San Joaquín,"7,455",0.28,0.02,0.34,0.01,Azuay
010164,Santa Ana,"5,363",0.39,0.03,0.29,0.01,Azuay
010165,Sayausi,"8,362",0.39,0.04,0.31,0.01,Azuay
010166,Sidcay,"3,964",0.27,0.03,0.28,0.01,Azuay
010167,Sinincay,"15,853",0.28,0.02,0.29,0.01,Azuay
010168,Tarqui,"10,490",0.36,0.02,0.30,0.01,Azuay
010169,Turi,"8,944",0.30,0.02,0.31,0.01,Azuay
010170,Valle,"24,304",0.22,0.01,0.31,0.01,Azuay
010171,Victoria del Portete (Irquis),"5,241",0.38,0.03,0.30,0.01,Azuay
0102,Girón,"12,485",0.37,0.03,0.31,0.01,Azuay
010250,Girón,"8,381",0.39,0.04,0.32,0.01,Azuay
010251,Asunción,"3,029",0.31,0.03,0.29,0.01,Azuay
010252,San Gerardo,"1,075",0.41,0.05,0.28,0.01,Azuay
0103,Gualaceo,"42,433",0.35,0.02,0.33,0.01,Azuay
010350,Gualaceo,"21,189",0.26,0.03,0.34,0.01,Azuay
010352,Daniel Cordova Toral (El Oriente),"1,702",0.27,0.04,0.28,0.01,Azuay
010353,Jadan,"4,320",0.47,0.03,0.29,0.01,Azuay
010354,Mariano Moreno,"2,616",0.30,0.03,0.28,0.01,Azuay
010356,Remigio Crespo Toral (Gulag),"1,412",0.24,0.04,0.28,0.01,Azuay
010357,San Juan,"5,291",0.58,0.03,0.29,0.01,Azuay
010358,Zhidmad,"2,745",0.50,0.04,0.28,0.01,Azuay
