event_id,custom_event_code
2b9272f4,feedback_correct
df4fe8b6,feedback_incorrect
3babcb9b,instruction
7f0836bf,instruction
ab3136ba,instruction
bbfe0445,instruction
bc8f2793,dropped_item_incorrectly
33505eae,instruction
cdd22e43,dropped_item_incorrectly
d88e8f25,feedback_incorrect
119b5b02,hover
4b5efe37,game_start
15f99afc,instruction
3d63345e,dropped_item_incorrectly
47026d5f,feedback_correct
93edfe2e,help
795e4a37,instruction
56817e2b,round_beat
a1e4395d,instruction
3afde5dd,feedback_correct
ecc6157f,hover
b7dc8128,game_start
99abe2bb,movie_start
c277e121,feedback_incorrect
6043a2b4,help
28520915,round_beat
1cf54632,game_start
3dfd4aa4,round_start
e720d930,feedback_correct
3ddc79c3,feedback_correct
1375ccb7,instruction
8fee50e2,dropped_item
bcceccc6,clicked_irrelevant
d02b7a8e,dropped_item_incorrectly
7fd1ac25,hover
30614231,dropped_item
3d8c61b0,dropped_item
a8cc6fec,game_exit
363d3849,instruction
a8efe47b,dropped_item
923afab1,instruction
65a38bf7,round_start
461eace6,dropped_item
5dc079d8,hover
53c6e11a,round_beat
160654fd,feedback_incorrect
5f0eb72c,dropped_item
56bcd38d,dropped_item
ea296733,feedback_incorrect
67439901,instruction
71fe8f75,instruction
d122731b,submit
709b1251,feedback_correct
a5e9da97,submit
5859dfb6,feedback_incorrect
a29c5338,instruction
05ad839b,help
26a5a3dd,hover
e04fb33d,feedback_incorrect
28a4eb9a,feedback_incorrect
b1d5101d,play_again
ea321fb1,instruction
4d911100,feedback_correct
0db6d71d,dropped_item
7423acbc,feedback_incorrect
736f9581,round_start
0d1da71f,instruction
f7e47413,instruction
e57dd7af,feedback_incorrect
3dcdda7f,instruction
45d01abe,feedback_correct
6f4adc4b,feedback_correct
91561152,dropped_item
9554a50b,hover
37937459,help
08fd73f3,round_beat
6c930e6e,round_beat
1325467d,clicked_irrelevant
2c4e6db0,round_start
c7f7f0e1,game_start
792530f8,dropped_item
14de4c5d,dropped_item
532a2afb,round_start
5348fd84,dropped_item
b74258a0,round_beat
8af75982,dropped_item
37c53127,round_beat
04df9b66,feedback_correct
363c86c9,dropped_item_incorrectly
cf7638f3,feedback_correct
28f975ea,dropped_item
6aeafed4,help
d3268efa,feedback_correct
a7640a16,clicked_irrelevant
bd612267,clicked_irrelevant
ecaab346,feedback_correct
6f8106d9,help
c0415e5c,dropped_item
b120f2ac,feedback_incorrect
e9c52111,round_beat
15a43e5b,clicked_irrelevant
dcaede90,round_start
e5c9df6f,feedback_correct
77c76bc5,help
f5b8c21a,round_beat
86ba578b,tutorial_beat
f3cd5473,clicked_irrelevant
df4940d3,instruction
71e712d8,instruction
2230fab4,feedback_incorrect
c51d8688,feedback_incorrect
1b54d27f,game_exit
abc5811c,game_start
77ead60d,feedback_correct
16667cc5,hover
c58186bf,dropped_item_incorrectly
7372e1a5,clicked_irrelevant
2dcad279,instruction
a8a78786,feedback_correct
bdf49a58,instruction
5c2f29ca,dropped_item
84538528,dropped_item
a52b92d5,instruction
9b4001e4,feedback_correct
3afb49e6,feedback_correct
3bb91dda,dropped_item
f54238ee,help
6cf7d25c,instruction
77261ab5,game_start
1af8be29,feedback_incorrect
7d093bf9,game_start
1bb5fbdb,instruction
d38c2fd7,dropped_item_incorrectly
17113b36,submit
b5053438,feedback_correct
250513af,feedback_correct
b738d3d3,game_exit
7ad3efc6,game_start
84b0e0c8,instruction
857f21c0,dropped_item
d51b1749,movie_start
6f445b57,hover
9d4e7b25,dropped_item
25fa8af4,submit
7ab78247,instruction
6088b756,tutorial_beat
4e5fc6f5,help
7ec0c298,instruction
5a848010,movie_start
b2dba42b,instruction
47f43a44,help
9ce586dd,dropped_item_incorrectly
4d6737eb,tutorial_beat
3bfd1a65,game_start
3393b68b,game_exit
8ac7cce4,game_start
69fdac0a,instruction
76babcde,clicked_irrelevant
1cc7cfca,dropped_item
2b058fe3,game_exit
5e812b27,dropped_item
93b353f2,submit
49ed92e9,instruction
c189aaf2,movie_end
e64e2cfd,game_start
b012cd7f,round_beat
bd701df8,instruction
e694a35b,dropped_item
85d1b0de,help
d3f1e122,dropped_item_incorrectly
29a42aea,hover
89aace00,feedback_incorrect
90d848e0,game_start
8d84fa81,game_start
6c517a88,clicked_irrelevant
4bb2f698,clicked_irrelevant
f56e0afc,game_start
763fc34e,feedback_incorrect
5290eab1,feedback_incorrect
51311d7a,game_start
7dfe6d8a,clicked_irrelevant
7cf1bc53,round_start
9b01374f,game_start
37ee8496,dropped_item
c1cac9a2,movie_skip
b7530680,round_start
a76029ee,dropped_item
00c73085,round_beat
bfc77bd6,hover
a1192f43,dropped_item
65abac75,game_start
63f13dd7,round_start
3b2048ee,play_again
85de926c,dropped_item
155f62a4,round_start
0086365d,game_start
13f56524,hover
87d743c1,game_start
c54cf6c5,section_start
9ee1c98c,dropped_item
f50fc6c1,dropped_item
d2659ab4,tutorial_skip
d88ca108,tutorial_beat
8f094001,dropped_item
598f4598,dropped_item
55115cbd,feedback_correct
90ea0bac,feedback_incorrect
8b757ab8,feedback_incorrect
3d0b9317,dropped_item
e5734469,feedback_incorrect
c7fe2a55,feedback_correct
4a4c3d21,dropped_item
30df3273,hover
9e34ea74,clicked_irrelevant
c74f40cd,feedback_correct
e4f1efe6,feedback_correct
499edb7c,dropped_item
3323d7e9,round_beat
4ef8cdd3,dropped_item
5f5b2617,hover
832735e1,instruction
47efca07,help
2dc29e21,dropped_item
01ca3a3c,hover
6077cc36,hover
26fd2d99,round_start
73757a5e,feedback_correct
0d18d96c,dropped_item_incorrectly
731c0cbe,help
fbaf3456,dropped_item
9b23e8ee,game_start
e080a381,help
2a512369,instruction
7961e599,round_start
f806dc10,round_start
d185d3ea,dropped_item_incorrectly
74e5f8a7,dropped_item
6bf9e3e1,dropped_item
92687c59,help
e4d32835,hover
ab4ec3a4,hover
5b49460a,game_start
cb6010f8,feedback_correct
29bdd9ba,game_start
a2df0760,dropped_item_incorrectly
5154fc30,instruction
c952eb01,clicked_irrelevant
3ee399c3,clicked_irrelevant
7da34a02,clicked_irrelevant
565a3990,clicked_irrelevant
5e109ec3,dropped_item
9e4c8c7b,instruction
ec138c1c,round_start
262136f4,dropped_item
9565bea6,game_exit
90efca10,dropped_item
eb2c19cd,help
fd20ea40,game_start
c2baf0bd,round_start
beb0a7b9,instruction
e3ff61fb,feedback_correct
9de5e594,feedback_incorrect
d45ed6a1,feedback_incorrect
a44b10dc,clicked_irrelevant
dcb55a27,tutorial_clicked
ac92046e,feedback_incorrect
0413e89d,instruction
02a42007,dropped_item
804ee27f,dropped_item
7525289a,feedback_correct
ca11f653,round_beat
1beb320a,round_start
0a08139c,instruction
895865f3,round_beat
070a5291,submit
ecc36b7f,play_again
daac11b0,feedback_correct
392e14df,submit
acf5c23f,clicked_irrelevant
ad2fc29c,feedback_incorrect
b80e5e84,instruction
5c3d2b2f,dropped_item
5de79a6a,feedback_incorrect
4c2ec19f,dropped_item
3bb91ced,movie_skip
fcfdffb6,dropped_item
6f4bd64e,help
a8876db3,feedback_correct
88d4a5be,feedback_incorrect
1575e76c,round_start
907a054b,feedback_incorrect
e37a2b78,feedback_incorrect
f71c4741,instruction
587b5989,clicked_irrelevant
86c924c4,dropped_item
56cd3b43,instruction
a16a373e,clicked_irrelevant
9d29771f,feedback_correct
a0faea5d,clicked_irrelevant
17ca3959,game_exit
46cd75b4,dropped_item
de26c3a6,dropped_item
08ff79ad,help
b88f38da,instruction
828e68f9,instruction
9ed8f6da,round_beat
ad148f58,dropped_item
31973d56,feedback_incorrect
1f19558b,feedback_correct
15ba1109,game_start
58a0de5c,feedback_correct
f93fc684,game_start
f28c589a,instruction
5d042115,dropped_item
44cb4907,feedback_incorrect
36fa3ebe,round_beat
d9c005dd,game_start
0330ab6a,feedback_incorrect
db02c830,section_start
2ec694de,hover
3a4be871,hover
51102b85,dropped_item
cb1178ad,help
dcb1663e,hover
37db1c2f,dropped_item
c7128948,dropped_item
15eb4a7d,instruction
1c178d24,round_beat
562cec5f,dropped_item
48349b14,game_start
a5be6304,game_exit
cfbd47c8,dropped_item
cc5087a3,game_start
3ccd3f02,instruction
3edf6747,dropped_item_incorrectly
cf82af56,clicked_irrelevant
1996c610,dropped_item
3bf1cf26,feedback_incorrect
f6947f54,round_beat
022b4259,dropped_item
a1bbe385,instruction
222660ff,game_exit
756e5507,game_start
27253bdc,movie_start
0ce40006,hover
1340b8d7,dropped_item
bb3e370b,dropped_item
4074bac2,game_exit
67aa2ada,help
884228c8,clicked_irrelevant
e7561dd2,dropped_item
46b50ba8,play_again
a6d66e51,dropped_item
e79f3763,dropped_item
b2e5b0f1,game_exit
d06f75b5,section_start
d2e9262e,dropped_item
8d7e386c,instruction
4a09ace1,movie_end
2fb91ec1,dropped_item
611485c5,hover
16dffff1,round_beat
28ed704e,dropped_item
19967db1,help
4901243f,game_start
e7e44842,help
a592d54e,round_start
003cd2ee,game_exit
f32856e4,round_start
83c6c409,round_beat
6d90d394,game_start
8d748b58,help
5be391b5,game_start
38074c54,round_beat
c6971acf,round_start
5e3ea25a,clicked_irrelevant
7d5c30a2,tutorial_start
d2278a3b,game_start
99ea62f3,movie_end
9c5ef70c,game_start
7040c096,game_start
29f54413,round_start
06372577,tutorial_start
2a444e03,dropped_item
9e6b7fb5,play_again
d3640339,help
